category, question, answer
"Curriculum","Why do you offer Java?","We founded Tech Elevator as a demand-driven program designed to get you into a great career in programming. Java is widely used in software development, with a consistently large number of job openings in a variety of industries worldwide.

The Java programming language is an excellent foundation which can act as a springboard to other languages you learn as you continue to build your career."
"Enrolled Students","What is the total cost of the coding bootcamp, including tuition, fees, and any additional expenses?","Tuition is $16,500 which includes 800+ hours of coding and 50-75 hours of personalized career coaching. Prior to your bootcamp’s start date, you’ll also receive a laptop and all of the software you need to succeed during the cohort. In order to secure your seat in class, there is an enrollment fee of $125 that’s due no later than two weeks after being accepted."
"Enrolled Students","Are there any scholarships or grants available to help offset the cost of the bootcamp?","We’re proud to offer Represent Tech Scholarships to historically underrepresented groups creating greater accessibility to careers in technology. This covers a majority of tuition costs at $13,175 and is awarded to five applicants every quarter.
In partnership with local workforce development boards, Tech Elevator is an Eligible Training Provider in the states of Ohio, Michigan and Pennsylvania underneath the Workforce Innovation & Opportunity Act, which authorizes and funds employment and training programs in the United States."
"Enrolled Students","Can you provide a breakdown of the payment options, including upfront payment, installment plans, and financing options?","Full-Time Students – $16,500 (2 payments)
Half upfront ($8,250)
Second half at 8 Weeks ($8,250)
Review School Catalog for up-to-date breakdowns

Acceptable Payment Options:

Sallie Mae & Ascent to finance student loans
Local grants to support your education
Represent Tech Scholarship 
The Stride Funding & Tech Elevator Income Share Agreement (ISA)
State vocational rehabilitation agencies offer financing opportunities
If you’re a veteran, you could qualify for GI Bill or Vet Tec benefits to help pay for tuition.
 
Part-Time Students – $16,500 (3 payments)
33% Upfront ($5,500)
33% Week 10 ($5,500)
33% Week 20 ($5,500)
Review School Catalog for up-to-date breakdowns

Acceptable Payment Options:

Sallie Mae & Ascent to finance student loans
Local grants to support your education
Represent Tech Scholarship 
State vocational rehabilitation agencies offer financing opportunities"
"Enrolled Students","Is there a deposit required to secure a spot in the bootcamp, and if so, is it refundable?","Tech Elevator requires a registration fee of $125 to secure your seat. The Enrollment Agreement may be canceled within five (5) calendar days after the date of signing provided that the school is notified of the cancellation in writing. If such cancellation is made, the school will promptly refund no later than thirty (30) days after cancellation."
"Enrolled Students","Do you offer any discounts for veterans, women, or underrepresented minorities?","We’re proud to offer Represent Tech Scholarships to historically underrepresented groups creating greater accessibility to careers in technology. This covers a majority of tuition costs at $13,175 and is awarded to five applicants every quarter.
State vocational rehabilitation agencies offer personalized services to help individuals with disabilities meet their employment needs, including financing opportunities and access to reasonable accommodations.
Tech Elevator is a tuition-free coding bootcamp for eligible veterans. The VET TEC® program enables Veterans to get the skills-based training they need to land a high-paying job in tech as software engineers."
"Enrolled Students","Can I use financial aid, such as federal student loans or private loans, to pay for the bootcamp?","Tech Elevator is not currently federally funded but we are a preferred partner with both Sallie Mae and Ascent. These student loan providers also offer living expense stipends in addition to the cost of tuition which can help students pay bills while studying full time. Students are also welcome to use private loans depending on what’s best for you."
"Enrolled Students","What is the deadline for applying for financial aid, and when will I know if I’ve been approved?","In order to ship your laptop and welcome package on time, financing must be confirmed 30 days before the cohort start date you want to enroll for. This means you must have a signed ACH form, show loan (or other financing) approval, or schedule a credit card payment within an agreed upon timeframe."
"Enrolled Students","Are there any income share agreements (ISAs) or deferred tuition options available?","With the Stride Funding & Tech Elevator Income Share Agreement (ISA), you pay a $2,000 deposit and then $0 in tuition until you’re hired and earning at least $40,000 per year. The ISA tuition plan is currently only available for Tech Elevator’s Full-Time Program.

NOTE: ISA is not available for students residing in Alabama, California, Colorado, Iowa, Illinois, Maine, New York, South Carolina, Washington D.C or Washington."
"Enrolled Students","Can you provide information about job placement assistance and any associated costs or fees?","During each cohort, we offer 30+ career sessions and hours of 1-on-1 career coaching through our Pathway Program™. Our expert coaches will help you develop your soft skills so that you feel confident and ready to land a meaningful job in tech. Career sessions include: elevator pitch practice, CliftonStrengths assessments, resume review, 4 weeks of interview prep, how to build your professional network and more. In-depth and comprehensive, Pathway Program™ is at the heart of our 88% job placement outcomes.

After graduation, you’ll receive 365 days of support from our alumni success team and have lifetime access to connect with our growing alumni network – your permanent support system and already included in the cost of tuition."
"Enrolled Students","What happens if I need to withdraw from the bootcamp before completing the program? Are there any refund policies in place?","If you’re thinking about withdrawing from the program before your cohort start date, your financing can be transferred to a later cohort date that works better for your schedule or refunded.

Refunds requested after starting the bootcamp are typically prorated based on your last day in the program. You can read more about our policy here in Tech Elevator’s School Catalog."
"Enrolled Students","Can I defer my enrollment if I encounter unexpected financial difficulties?","We understand that life happens and we do our best to accommodate. Students may push to a later cohort for any reason. A student can only push two times from their initial enrolled cohort, with a maximum extension of 180 days."
"Enrolled Students","Does Tech Elevator send out tax forms related to tuition?","Tech Elevator is not an accredited institution and therefore is not required to disburse 1098-T forms. You can request a transcript or invoice if that is helpful for purposes of taxes."
"Financing","What types of lenders do you work with?","We’re proud to work with lenders who offer financing options for both tuition and cost of living. Check out details about our partners like Sallie Mae, Ascent and HFLA on this page."
"Financing","When should I apply for a loan and how long will it take to be approved?","While it is recommended you research potential financing options after you apply to Tech Elevator, students should not apply for a loan until they have been accepted and enrolled in a Tech Elevator cohort.

Our two most popular loan providers are Sallie Mae and Ascent. Applications for loans from Sallie Mae and Ascent can be completed and approved within 30 minutes if you do not use a cosigner. If you apply for a loan with a cosigner, it may extend the approval process by a few weeks. Please touch base with the loan provider on estimated times for approval with a cosigner as it may vary.

The application for Sallie Mae opens 300 days prior to the start of the cohort, while the application for Ascent opens 90 days before the cohort starts. Please do not apply until you have been accepted into the program."
"Financing","When is tuition due?","Full-Time Programs:

$125 to hold your spot in class (once accepted)
Half of your tuition is due at the time of equipment release

The other half is due on day 1 of week 8 of the bootcamp

Part-Time Programs:

$125 to hold your spot in class (once accepted)
One-third of your tuition due at the time of equipment release
One-third due on day 1 of week 11 of the bootcamp
One-third due on day 1 of week 21 of the bootcamp"
"Financing","How will my loan be disbursed?","Sallie Mae: For students who receive loans from Sallie Mae, half of their tuition will be paid directly to Tech Elevator 10 days after the cohort begins and the other half will be paid the Wednesday of week 8. If you received additional funds for cost of living, those funds are included in the payments made to Tech Elevator. Upon receiving each of the payments, Tech Elevator will send you a check for your cost of living funds either in person at your campus or via mail. Each of the two cost of living disbursements will be 50% of the total amount.

Ascent: Total tuition for Ascent is paid 10 days after the cohort begins. If you received cost of living funds, Ascent will send those to you directly."
"Financing","What’s the best way I can get in touch with my loan provider?","Sallie Mae: 800-4-SALLIE or online chat via their website or app.

Ascent: To contact Ascent directly, email bootcamphelp@ascentprogram.com. To talk with your loan servicer, click here."
"Income Share Agreement","Will the ISA affect my credit score?","If you are eligible and apply, a hard credit check will be performed and can affect your credit score and will show as an inquiry on your credit report. To be approved we look at more than just your credit score."
"Income Share Agreement","I am interested in your ISA, but I have some credit issues. Should I apply?","We do consider major credit issues like charge-offs, bankruptcies, and delinquencies, but we encourage all students to apply, so we can review credit history and determine eligibility."
"Income Share Agreement","When does the ISA end?","The Income Share Agreement will end when one of the following occurs — whichever comes first:

1. You make 48 payments.

2. Your cumulative payments reach the payment cap at 1.5x funded tuition.

3. The maximum timeframe for your agreement of 96 months — the payment window — expires."
"Income Share Agreement","When do ISA participants start making payments?","After the course, graduates have a payment-free grace period of 3 months.

If students don’t secure employment earning $3,333.33 per month (which annualizes to $40,000.00 per year) before their grace period expires, they must reach out to The Tech Academy’s servicing partner, Stride Funding, to request deferment. Payments will begin once the student earns at least $40,000.00 per year or $3,333.33 per month. This threshold to begin payback applies to all jobs — full-time and part-time, regardless of the field."
"Income Share Agreement","What is the application & approval process for an ISA?","Interested students can apply for their ISA here. The ISA application is a simple online form that takes 5-10 minutes to complete. Students should have the following information available in order to finish their applications as quickly as possible:

The program to which they have been accepted.
Their financial need (the tuition amount you’ll request).
One reference(s)/communication contact.
After students submit an application, their information will be verified and certified by the school. Once Tech Elevator certifies the successful completion of this work, the student will be sent a final disclosure document to finalize the ISA contract. This entire process from start to finish takes at least two weeks."
"Income Share Agreement","Who is eligible to apply for an ISA?","Stride’s ISA program is available to:

Full Time Java Web Application Development Bootcamp.
Students with U.S. citizenship or permanent residency.
Students 18 or older at the time of contract execution.
The ISA tuition plan is currently only available for Tech Elevator’s Full-Time Program. ISA plans are not available for residents of: California, New York, Iowa, Illinois, Washington D.C., Colorado, Washington, Alabama, or South Carolina. Read more information on Stride Funding’s Privacy Policy."
"Income Share Agreement","What benefits does the ISA program offer for students?","The ISA provides a different way to pay for Tech Elevator’s full-time Java Web Application Development Bootcamp. As part of the program, if participants make more, they pay more, and if participants make less, they pay less. If participants don’t get a job after the program, they don’t pay anything at all.

ISA payments will not begin until after employment is secured, and only if total income is at least $40,000.00 per year. The percentage of the income participants pay stays the same, but monthly payments may go up or down depending on salary. If graduates earn a high income, a total payment cap will limit how much they are required to pay. No participant will ever pay more than 1.5x the cost of tuition."
"Income Share Agreement","What is the Stride Funding & Tech Elevator ISA program?","Tech Elevator’s Income Sharing Agreement (ISA) Program is powered by Stride Funding. An ISA is a contract in which a student receives educational funding in exchange for an agreed-upon percentage of future income over a defined period of time.

Students accepted into the ISA program won’t pay anything up front. They’ll first complete the full-time Java Web Application Development Bootcamp. Then, only once graduates have landed a job earning at least $40,000.00 annually, they’ll start paying back their 10% or less of their income over 48 months."
"Income Share Agreement","What is the difference between a traditional installment loan and ISA?","Unlike traditional installment loans, an ISA is rooted in the student’s ability to make repayments on funding.

A traditional installment loan for Tech Elevator:

Fixed payment means you have to pay regardless of what you may earn
Rigid payment schedules force you to pay even if you don’t have a job
Require co-signer or high current income for students
3-10 years
An ISA for Tech Elevator

Payments tied to income give you confidence that payments remain affordable, no matter your earnings
Pay nothing during months where you make less than the minimum income threshold
Stride ISAs do not require a co-signer for students
48 month payment term (over a maximum of 96 months) for a the ISA Program"
"International Students","Do you consider international applicants?","At this time, Tech Elevator is only able to consider applications from individuals residing in the continental United States.

Potential students residing in the United States but lacking U.S. citizenship should reach out to hello@techelevator.com to discuss enrollment options."
"Matchmaking","What are the steps after matchmaking?","Tech Elevator’s Pathway Directors will follow up with you to collect feedback, answer questions, and help you coordinate the next steps with preferred candidates. Our teams can be involved in as much, or as little, of your team’s hiring process as you’d like."
"Matchmaking","This seems like a big process. Can’t you just send me some resumes?","It’s our pleasure to help you match with the candidates that best fit your job description. If this process does not align with your approach, we are happy to share resumes for independent review. Schedule a call with a member of the Partnerships team to determine what the best fit for you is!"
"Matchmaking","How much does it cost to participate?","Matchmaking is free to schedule and participate!"
"Matchmaking","Do I have to commit to hiring a student, even if I don’t find the right fit for our role or organization?","Not at all. Attending Matchmaking isn’t a commitment to hiring one of our students."
"Matchmaking","How do I select the students I will meet with?","Based on the information you submit to our Pathway Directors, we’ll pair you with the students that best fit your needs for interviewing. From there, you will be able to filter down the candidates that you interview to those that fit your organization’s needs."
"Matchmaking","Is this virtual or in-person?","Our Matchmaking events are largely held virtually over zoom; however, if you are near one of our campuses, we’d be happy to host you on site as well!"
"Matchmaking","How do I register for Matchmaking on your website?","To register for Matchmaking please fill out the registration from here."
"Matchmaking","Do I have to do a Showcase to be allowed to participate in Matchmaking?","No, you don’t need to do an Employer Showcase to participate in Matchmaking, but it is a great way to introduce your company to current students. If you’re interested in scheduling an Employer Showcase with Tech Elevator, visit our Employer Showcase Partnerships page."
"Michigan Unemployment Benefits","Am I eligible to receive benefits while pursuing Tech Elevator?","The Michigan Unemployment Insurance Agency states that a worker who is in a training or educational program approved by the Michigan Works! Agency can request a waiver to continue receiving unemployment benefits during training, even though they are not ‘available for and seeking full time work.’

To be eligible, the representatives will want to see that:

You are collecting regular UI Benefits

Reasonable opportunities for employment in occupations which your experience is suited for do not exist in the locality where you are claiming benefits

The vocational training has been approved by the local Workforce Development Board

Tech Elevator is listed on Michigan’s official training provider list, Michigan Training Connect

You have the required aptitudes to complete the course"
"Michigan Unemployment Benefits","What is the process to receive a waiver of unemployment insurance eligibility?","
From your local Michigan Works! Agency, request a copy of the Request for Approval of Vocational Training Course for Waiver of Unemployment Insurance Eligibility (Form DLEG-BWT 311-S)

Complete Section A and return the form to the MWA worker to send to the Unemployment Insurance Office

UI will evaluate the waiver request and approve or deny

If approved, file Form UIA 1680, Certification of Participation in Approved Training by mail or fax, showing Tech Elevator’s approval of your participation.

Certify eligibility every two weeks online through MiWAM"
"Ohio Unemployment Benefits","Am I eligible to receive benefits while pursuing Tech Elevator?","Ohio’s Unemployment Insurance Guide for Workers states that although individuals generally are not eligible for benefits while attending school full-time, you may be allowed to collect benefits while in school if you enroll in a training course approved by ODJFS and make satisfactory progress.

Tech Elevator is approved by ODJFS and is listed on their WIET list. 

This exception applies to the requirement that you be ‘able and available for suitable work.’ In addition, you should make sure that you are otherwise eligible for UI benefits, outside of your student status (e.g. out of work by no fault of your own, ‘totally’ or ‘partially’ unemployed, etc.). Consult the UI Guide for Workers to make sure."
"Ohio Unemployment Benefits","What is the process to receive a waiver of unemployment insurance eligibility?","At the time of applying for unemployment benefits, state that you are in school or that you are a student.

Once you indicate that you are attending school, a fact-finding document will be generated by the unemployment office and sent to you.

Send the form to your Tech Elevator Admissions Coordinator to complete, copy, and return to you.

Return the form to the office of unemployment.

When the completed form is sent back to the unemployment office, they will indicate whether you are considered available for work and are eligible for unemployment benefits (assuming you meet all other eligibility criteria)."
"Part-Time Program","As a part-time student, will someone be available if I need extra support?","Yes! Tech Elevator staff (and classmates) will be available to support your independent study and will offer opportunities for 1-on-1 sessions regularly throughout your cohort."
"Part-Time Program","How will Tech Elevator measure success throughout the program?","There will be academic performance benchmarks for each module, including weekly exercises due on Sunday and an end-of-module summative assessment. Passing a module is based on a combination of exercise completion and your assessment score."
"Part-Time Program","What can I expect from the Pathway Program over the 30-week program?","The part-time Pathway Program will run parallel to your technical curriculum, and will include independent work—including reading assignments, videos and quizzes. We will also provide 1-on-1 career coaching for assignment feedback (ie. resume, LinkedIn development for example) and to help you develop your career strategy. You can request ad-hoc appointments as needed."
"Part-Time Program","Can I enroll in the Part-Time Program from anywhere in the United States?","Tech Elevator can enroll students from anywhere in the United States except for residents of Washington D.C. or Maryland."
"Part-Time Program","What financing options are available?","We understand that finding ways to pay for the program can be challenging. For that reason, we have partnered with leading financing partners to support our students both for tuition and cost of living with a variety of payment options that might be a good fit for your situation. These include student-friendly options to finance your bootcamp, scholarships, workforce grants and veteran’s benefits. Visit our tuition page for more information. Please note that ISAs are not applicable to the part-time program."
"Part-Time Program","Can I switch dates and times depending on my schedule?","No, a student has to make a course selection and will be enrolled in that section for the 30-week program."
"Part-Time Program","What is the difference between the 2-day offering and just Saturday?","Nothing! Same program, just different time offerings. The review and paired programming sessions will be broken down into two days (ie. review on Monday & pair programming on Wednesday vs both back-to-back on Saturdays).

Disclaimer: Saturday offerings are not available for every part-time cohort. Check with your admissions advisor regarding upcoming schedules."
"Part-Time Program","Are residents of all United States Eligible to apply for Tech Elevator?","Tech Elevator cannot accept applicants from New Mexico or North Dakota for its coding bootcamp programs at this time."
"Part-Time Program","What is the relationship between Hack Reactor and Tech Elevator?","Both Tech Elevator and the Hack Reactor by Galvanize brand are part of Stride, Inc.  Tech Elevator and Galvanize are consolidating operations."
"Represent Tech Scholarship","How do I apply for the scholarship?","You can let us know you’re interested in a scholarship at any time by filling out the interest form. To submit an official application you must enroll in Tech Elevator. After enrollment, you will receive access to the application form along with post-enrollment financing information and other enrolled student resources. You must enroll as a student and apply for the scholarship by the Scholarship application deadline for the cohort you plan to attend in order to be considered. The business day following the deadline you’ll be invited to complete an asynchronous interview if your application meets the scholarship eligibility criteria."
"Represent Tech Scholarship","What is an asynchronous interview?","The asynchronous interview uses a platform called Kira Talent to allow you to interview on your own time. We’ve recorded ourselves asking interview questions, and you will video record yourself as you answer. You will receive the invitation to interview the business day following the application deadline, and you’ll have about 6 days to complete it. (Exact time between deadlines may be affected by holidays.) You can interview at a time that is most convenient for you, so long as you do so by the deadline you are given in your interview invitation."
"Represent Tech Scholarship","How do I know if I'm eligible to apply for a scholarship?","Carefully review the eligibility criteria provided in the scholarship terms and conditions. Final eligibility is based on the self identification you provide on the scholarship form."
"Represent Tech Scholarship","When will I be notified about the scholarship results?","Scholarship results will be provided roughly 2.5 weeks after the application deadline. The specific week when you can expect to receive an update on your award status is published alongside each deadline."
"Represent Tech Scholarship","How likely am I to receive a scholarship?","We have a limited number of scholarships to award, and it is a competitive selection process. Students who apply for a scholarship should also make other tuition financing arrangements while waiting for the scholarship selection results."
"Represent Tech Scholarship","I enrolled after the scholarship deadline. What if I want to be considered for the scholarship?","Unfortunately, if you enroll in a Tech Elevator course after the associated Represent Tech application deadline has passed, you will not be able to apply for a scholarship. Our admissions team can work with you to explore other financing or grant options that are right for you."
"Represent Tech Scholarship","What if I’m not awarded the scholarship?","If you are not awarded a scholarship, you will need to make other arrangements to pay for your tuition. (Get more information or financing or grant options.) The scholarship decision does not affect your enrollment status."
"Represent Tech Scholarship","The scholarship does not cover 100% of tuition. How do I pay for the rest of my tuition?","Scholarship recipients have access to the same financing or grant options as all other students. If you expect to need to leverage any of those options to pay for your tuition (regardless of whether or not you receive a scholarship), you should begin applying as soon as possible upon enrollment. Your financing amount can be adjusted if you are awarded a scholarship."
"Reskilling","How much does reskilling cost?","We offer a suite of reskilling solutions at scaleable price points to meet your organizational needs. Speak with a team member today to explore your reskilling options."
"Reskilling","What does your reskilling curriculum include?","Our curriculum covers a introduction to programming in Java, which leads into Relational Databases and Client Server Programming, followed by Web Application Devlopment. All the critical components to produce a code-ready, full-stack software engineer. Our curriculum, based on volume of needs, can be customized for dedicated cohorts to highlight specific concepts as needed by your organization. Speak with a team member for an overview of our current curriculum offerings."
"Reskilling","How long does it take to reskill?","We offer part-time and full-time programs. Part-time programs last 30 weeks and full-time programs last 14 weeks."
"Reskilling","How do reskilled employees compare to computer science graduates?","We have found our approach to be effective at producing skilled software engineers who can address and manage the same level of work and skill as those with traditional computer science degrees."
"Reskilling","How many employees can I reskill at once?","There is no limit on the number. Depending on which reskilling solution best suits your organization, you can reskill as few as one or two students and as many as 100+."
"Talent Sourcing Solutions","I need to hire. Where do I start?","The best opportunity to meet with ready-to-hire candidates is by attending our matchmaking events. Click here to explore upcoming events!"
"Talent Sourcing Solutions","I’d love to partner! What are my options?","Welcome! We offer several ways to partner and stay involved with fresh talent in your communities. Consider attending an employer showcase, registering for matchmaking or sponsoring a scholarship."
